,Places made available,Relocated from Italy,Relocated from Greece,Remaining places
Austria,0,0,0,1953
Belgium,30,14,0,3798
Bulgaria,1302,0,0,1302
Croatia,0,0,0,968
Cyprus,30,0,6,314
Czech Republic,0,0,0,2691
Denmark,0,0,0,N/A
Estonia,0,0,0,329
Finland,220,96,44,1958
France,1100,41,94,19622
Germany,40,11,31,27494
Greece,0,0,0,N/A
Hungary,0,0,0,1294
Ireland,20,0,10,590
Italy,0,0,0,N/A
Latvia,481,0,6,475
Lithuania,100,0,4,667
Luxembourg,90,0,30,527
Malta,131,0,0,131
Netherlands,100,50,0,5897
Poland,100,0,0,6182
Portugal,130,10,20,2921
Romania,315,0,0,4180
Slovakia,0,0,0,902
Slovenia,0,0,0,567
Spain,50,18,0,9305
Sweden,300,39,0,3727
United Kingdom,0,0,0,N/A
Norway,0,0,0,tbc
Switzerland,0,0,0,tbc
Liechtenstein,43,0,0,tbc
